ID,BuildingType,NumFloors,LandUse,latitude,longitude
36931,,2.0,01,40.6867898414105,-73.9410853064354
36932,,2.0,02,40.68678270944857,-73.94114650339509
36933,,2.0,01,40.68677582801877,-73.94120556248423
36934,,2.0,01,40.68676903843311,-73.94126381944831
36935,,3.0,02,40.686760335108595,-73.9413385086577
36936,,2.0,01,40.686696541405944,-73.94140223368517
36937,,2.0,01,40.68668975643003,-73.9414604555239
36938,,2.0,01,40.68668319671796,-73.94152130469315
36939,,3.0,02,40.68687934171496,-73.940317229849
36940,,0.0,11,40.68458883838527,-73.9538698813381
36941,,2.0,04,40.68477895956558,-73.95391408572713
36942,,2.0,04,40.684849036083605,-73.95391055399936
36943,,2.0,04,40.68490470405671,-73.9539213858967
36944,,3.0,04,40.68496325569689,-73.95393277928099
36945,,2.0,01,40.68487427990824,-73.95371891426893
36946,,2.0,01,40.68488254465125,-73.95364727932542
36947,,2.0,01,40.68489070552212,-73.95357661841113
36948,,4.0,02,40.68489892609842,-73.95350545765092
36949,,3.0,02,40.68490724739482,-73.95343340270607
36950,,3.0,02,40.684923424783,-73.95329334829712
36951,,3.0,02,40.684931643950705,-73.95322296195931
36952,,3.0,02,40.684941899939446,-73.95315238496264
36953,,3.0,02,40.6849535633374,-73.9530782016325
36954,,3.0,01,40.684964588803005,-73.95300621813418
36955,,3.0,01,40.68497497618477,-73.95293845781507
36956,,3.0,01,40.68498604749577,-73.95286683170832
36957,,4.0,02,40.68499741929022,-73.95279336341588
36958,,3.0,01,40.685018676556574,-73.95265069067614
36959,,3.0,01,40.6849784543401,-73.95254447119704
36960,,4.0,01,40.68504121337123,-73.9525104255377
36961,,3.0,02,40.68505240974737,-73.95243809303292
36962,,3.0,02,40.685062852859055,-73.95237062793747
36963,,3.0,02,40.68507330924968,-73.95230307131521
36964,,3.0,01,40.685040322961996,-73.95222488939983
36965,,2.0,01,40.68506338587114,-73.95208072965865
36966,,2.0,01,40.68506874487784,-73.9520063781431
36967,,4.0,02,40.68514463426537,-73.95184225596137
36968,,3.0,02,40.685098986362206,-73.95166114226622
36969,,2.0,01,40.68513496363944,-73.9515851185533
36970,,2.0,01,40.685139299292935,-73.95151411121248
36971,,2.0,01,40.68514459270652,-73.9514441531427
36972,,2.0,01,40.68514415480351,-73.95137389553211
36973,,2.0,08,40.68514791768686,-73.95129872470615
36974,,4.0,02,40.68516650194449,-73.95118841893814
36975,,3.0,08,40.685180089971794,-73.95107075072289
36976,,0.0,11,40.68522732405973,-73.95098636783909
36977,,0.0,11,40.68533031144782,-73.95082408841733
36978,,3.0,04,40.68528056320302,-73.95080900744678
36979,,3.0,08,40.685111237364616,-73.95082513688197
36980,,3.0,04,40.68505682770347,-73.95081294431358
36981,,3.0,01,40.68492465451558,-73.9506315425279
36982,,0.0,11,40.684917546339705,-73.9506908052958
36983,,3.0,01,40.68491011313257,-73.95075541608881
36984,,3.0,01,40.684903057655376,-73.9508167325411
36985,,3.0,01,40.684896068529554,-73.95087747815674
36986,,3.0,02,40.684889176672584,-73.95093738984355
36987,,4.0,02,40.68489848454127,-73.95101597501588
36988,,3.0,02,40.684889155813465,-73.9510970581974
36989,,3.0,01,40.68488102372364,-73.95116773936405
36990,,3.0,01,40.68487355073158,-73.95123268687901
36991,,3.0,01,40.6848669253033,-73.9512902792071
36992,,3.0,01,40.684860645395105,-73.95134485058766
36993,,3.0,01,40.68485366074008,-73.95140555992793
36994,,3.0,01,40.68485944582156,-73.95147951860393
36995,,3.0,01,40.68485054326717,-73.95155661144767
36996,,3.0,01,40.68482737049273,-73.95163405835996
36997,,3.0,01,40.684873178052584,-73.9517238470446
36998,,3.0,01,40.68486107853414,-73.95180224483055
36999,,3.0,01,40.68484905991177,-73.9518801058893
37000,,3.0,01,40.68479110749455,-73.95194973989629
37001,,3.0,01,40.684781925043964,-73.95202850022143
37002,,3.0,01,40.684772945933695,-73.95210706129973
